# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0016043	BP	e	cellular component organization	56/476	161/2562	5.175364406926418e-07	3	56	0.0007607861770772111	WP_066709320.1, WP_087493620.1, WP_087493683.1, WP_087493827.1, WP_087493917.1, WP_087493924.1, WP_087494039.1, WP_087494108.1, WP_087494135.1, WP_087494458.1, WP_087494893.1, WP_087495099.1, WP_087495111.1, WP_087495127.1, WP_087495218.1, WP_087495219.1, WP_087495239.1, WP_087495290.1, WP_087495344.1, WP_087495482.1, WP_087495514.1, WP_087495715.1, WP_087495716.1, WP_087495766.1, WP_087495809.1, WP_087495837.1, WP_087495838.1, WP_087496097.1, WP_087496127.1, WP_087496288.1, WP_087496290.1, WP_087496291.1, WP_087496292.1, WP_087496296.1, WP_087496297.1, WP_087496299.1, WP_087496300.1, WP_087496324.1, WP_087496330.1, WP_087496474.1, WP_087496476.1, WP_087496477.1, WP_087496492.1, WP_087496529.1, WP_087496533.1, WP_087496616.1, WP_087496736.1, WP_087496878.1, WP_087497039.1, WP_087497193.1, WP_087497445.1, WP_157673242.1, WP_157673251.1, WP_198301814.1, WP_198301917.1, WP_232459836.1
GO:0022607	BP	e	cellular component assembly	30/476	68/2562	7.937257976809714e-07	4	30	0.0007607861770772111	WP_087493683.1, WP_087493924.1, WP_087494039.1, WP_087494135.1, WP_087495111.1, WP_087495219.1, WP_087495344.1, WP_087495482.1, WP_087495715.1, WP_087495716.1, WP_087495837.1, WP_087495838.1, WP_087496288.1, WP_087496297.1, WP_087496299.1, WP_087496300.1, WP_087496324.1, WP_087496330.1, WP_087496474.1, WP_087496476.1, WP_087496477.1, WP_087496529.1, WP_087496533.1, WP_087496616.1, WP_087496736.1, WP_087496878.1, WP_087497039.1, WP_157673251.1, WP_198301814.1, WP_232459836.1
GO:0071840	BP	e	cellular component organization or biogenesis	61/476	202/2562	2.8738556975047723e-05	2	61	0.01636463551819822	WP_066709320.1, WP_087493620.1, WP_087493683.1, WP_087493705.1, WP_087493827.1, WP_087493917.1, WP_087493924.1, WP_087493936.1, WP_087494039.1, WP_087494108.1, WP_087494135.1, WP_087494458.1, WP_087494865.1, WP_087494893.1, WP_087495099.1, WP_087495111.1, WP_087495127.1, WP_087495218.1, WP_087495219.1, WP_087495239.1, WP_087495290.1, WP_087495344.1, WP_087495482.1, WP_087495514.1, WP_087495715.1, WP_087495716.1, WP_087495766.1, WP_087495809.1, WP_087495837.1, WP_087495838.1, WP_087496097.1, WP_087496127.1, WP_087496288.1, WP_087496290.1, WP_087496291.1, WP_087496292.1, WP_087496296.1, WP_087496297.1, WP_087496299.1, WP_087496300.1, WP_087496324.1, WP_087496330.1, WP_087496474.1, WP_087496476.1, WP_087496477.1, WP_087496492.1, WP_087496529.1, WP_087496533.1, WP_087496616.1, WP_087496736.1, WP_087496865.1, WP_087496878.1, WP_087496983.1, WP_087497039.1, WP_087497193.1, WP_087497445.1, WP_157673242.1, WP_157673251.1, WP_198301814.1, WP_198301917.1, WP_232459836.1
GO:0009987	BP	e	cellular process	330/476	1564/2562	3.76251981057913e-05	1	330	0.01636463551819822	WP_066709320.1, WP_087493495.1, WP_087493508.1, WP_087493509.1, WP_087493540.1, WP_087493604.1, WP_087493613.1, WP_087493618.1, WP_087493620.1, WP_087493622.1, WP_087493624.1, WP_087493629.1, WP_087493632.1, WP_087493643.1, WP_087493649.1, WP_087493683.1, WP_087493686.1, WP_087493705.1, WP_087493774.1, WP_087493776.1, WP_087493783.1, WP_087493798.1, WP_087493812.1, WP_087493813.1, WP_087493819.1, WP_087493827.1, WP_087493829.1, WP_087493897.1, WP_087493911.1, WP_087493917.1, WP_087493918.1, WP_087493920.1, WP_087493924.1, WP_087493925.1, WP_087493926.1, WP_087493929.1, WP_087493936.1, WP_087494020.1, WP_087494033.1, WP_087494036.1, WP_087494037.1, WP_087494039.1, WP_087494069.1, WP_087494108.1, WP_087494135.1, WP_087494136.1, WP_087494183.1, WP_087494192.1, WP_087494215.1, WP_087494218.1, WP_087494229.1, WP_087494230.1, WP_087494233.1, WP_087494234.1, WP_087494238.1, WP_087494239.1, WP_087494241.1, WP_087494252.1, WP_087494254.1, WP_087494285.1, WP_087494373.1, WP_087494398.1, WP_087494458.1, WP_087494462.1, WP_087494468.1, WP_087494522.1, WP_087494523.1, WP_087494524.1, WP_087494525.1, WP_087494526.1, WP_087494527.1, WP_087494529.1, WP_087494533.1, WP_087494534.1, WP_087494551.1, WP_087494552.1, WP_087494558.1, WP_087494580.1, WP_087494591.1, WP_087494594.1, WP_087494659.1, WP_087494666.1, WP_087494713.1, WP_087494831.1, WP_087494832.1, WP_087494851.1, WP_087494852.1, WP_087494864.1, WP_087494865.1, WP_087494893.1, WP_087494908.1, WP_087494913.1, WP_087494945.1, WP_087494951.1, WP_087494987.1, WP_087494998.1, WP_087495027.1, WP_087495032.1, WP_087495033.1, WP_087495034.1, WP_087495074.1, WP_087495099.1, WP_087495111.1, WP_087495118.1, WP_087495119.1, WP_087495127.1, WP_087495165.1, WP_087495186.1, WP_087495194.1, WP_087495195.1, WP_087495204.1, WP_087495218.1, WP_087495219.1, WP_087495225.1, WP_087495227.1, WP_087495228.1, WP_087495237.1, WP_087495239.1, WP_087495273.1, WP_087495290.1, WP_087495299.1, WP_087495300.1, WP_087495306.1, WP_087495342.1, WP_087495344.1, WP_087495374.1, WP_087495375.1, WP_087495417.1, WP_087495438.1, WP_087495448.1, WP_087495453.1, WP_087495462.1, WP_087495464.1, WP_087495468.1, WP_087495477.1, WP_087495478.1, WP_087495482.1, WP_087495484.1, WP_087495514.1, WP_087495521.1, WP_087495524.1, WP_087495526.1, WP_087495527.1, WP_087495534.1, WP_087495537.1, WP_087495542.1, WP_087495550.1, WP_087495570.1, WP_087495651.1, WP_087495679.1, WP_087495694.1, WP_087495715.1, WP_087495716.1, WP_087495717.1, WP_087495721.1, WP_087495722.1, WP_087495766.1, WP_087495789.1, WP_087495809.1, WP_087495810.1, WP_087495817.1, WP_087495818.1, WP_087495830.1, WP_087495837.1, WP_087495838.1, WP_087495849.1, WP_087495857.1, WP_087495899.1, WP_087495906.1, WP_087495909.1, WP_087495911.1, WP_087495913.1, WP_087495914.1, WP_087495922.1, WP_087495929.1, WP_087495931.1, WP_087495946.1, WP_087495958.1, WP_087495960.1, WP_087495965.1, WP_087495966.1, WP_087495980.1, WP_087495991.1, WP_087496001.1, WP_087496002.1, WP_087496003.1, WP_087496012.1, WP_087496097.1, WP_087496127.1, WP_087496202.1, WP_087496209.1, WP_087496212.1, WP_087496215.1, WP_087496225.1, WP_087496228.1, WP_087496229.1, WP_087496265.1, WP_087496273.1, WP_087496276.1, WP_087496283.1, WP_087496284.1, WP_087496288.1, WP_087496290.1, WP_087496291.1, WP_087496292.1, WP_087496296.1, WP_087496297.1, WP_087496299.1, WP_087496300.1, WP_087496321.1, WP_087496324.1, WP_087496325.1, WP_087496330.1, WP_087496335.1, WP_087496352.1, WP_087496354.1, WP_087496355.1, WP_087496385.1, WP_087496386.1, WP_087496389.1, WP_087496451.1, WP_087496463.1, WP_087496465.1, WP_087496474.1, WP_087496475.1, WP_087496476.1, WP_087496477.1, WP_087496479.1, WP_087496492.1, WP_087496497.1, WP_087496504.1, WP_087496505.1, WP_087496506.1, WP_087496510.1, WP_087496511.1, WP_087496512.1, WP_087496513.1, WP_087496518.1, WP_087496519.1, WP_087496529.1, WP_087496530.1, WP_087496532.1, WP_087496533.1, WP_087496569.1, WP_087496575.1, WP_087496579.1, WP_087496596.1, WP_087496598.1, WP_087496606.1, WP_087496612.1, WP_087496613.1, WP_087496615.1, WP_087496616.1, WP_087496617.1, WP_087496623.1, WP_087496624.1, WP_087496686.1, WP_087496734.1, WP_087496736.1, WP_087496787.1, WP_087496795.1, WP_087496797.1, WP_087496830.1, WP_087496840.1, WP_087496854.1, WP_087496855.1, WP_087496856.1, WP_087496857.1, WP_087496858.1, WP_087496863.1, WP_087496865.1, WP_087496868.1, WP_087496878.1, WP_087496888.1, WP_087496901.1, WP_087496907.1, WP_087496917.1, WP_087496949.1, WP_087496963.1, WP_087496976.1, WP_087496983.1, WP_087496986.1, WP_087497017.1, WP_087497039.1, WP_087497040.1, WP_087497048.1, WP_087497052.1, WP_087497082.1, WP_087497088.1, WP_087497159.1, WP_087497183.1, WP_087497193.1, WP_087497206.1, WP_087497263.1, WP_087497288.1, WP_087497299.1, WP_087497302.1, WP_087497305.1, WP_087497308.1, WP_087497347.1, WP_087497348.1, WP_087497354.1, WP_087497376.1, WP_087497403.1, WP_087497421.1, WP_087497436.1, WP_087497445.1, WP_157673081.1, WP_157673095.1, WP_157673137.1, WP_157673242.1, WP_157673251.1, WP_198301814.1, WP_198301824.1, WP_198301849.1, WP_198301863.1, WP_198301917.1, WP_198301921.1, WP_198301923.1, WP_232459811.1, WP_232459836.1, WP_232459848.1, WP_232459964.1, WP_232459977.1, WP_232459981.1, WP_232459989.1, WP_232460003.1, WP_232460007.1, WP_232460033.1, WP_257789668.1
GO:0090529	BP	e	cell septum assembly	8/476	10/2562	4.268293040740277e-05	5	8	0.01636463551819822	WP_087494039.1, WP_087495715.1, WP_087495716.1, WP_087496288.1, WP_087496297.1, WP_087496300.1, WP_087496529.1, WP_157673251.1
GO:0009060	BP	e	aerobic respiration	18/476	39/2562	6.636181116413209e-05	6	18	0.021202598666940204	WP_087493649.1, WP_087494230.1, WP_087494398.1, WP_087494522.1, WP_087494523.1, WP_087494524.1, WP_087494526.1, WP_087494527.1, WP_087494533.1, WP_087495913.1, WP_087495914.1, WP_087496385.1, WP_087496386.1, WP_087496389.1, WP_087496596.1, WP_087496840.1, WP_087496901.1, WP_087497206.1
GO:0061024	BP	e	membrane organization	8/476	11/2562	0.0001311208708827541	4	8	0.032933110368158464	WP_087493683.1, WP_087495344.1, WP_087495837.1, WP_087495838.1, WP_087496492.1, WP_087497039.1, WP_087497193.1, WP_232459836.1
GO:0051301	BP	e	cell division	18/476	41/2562	0.00014842363353158137	2	18	0.032933110368158464	WP_087493924.1, WP_087493925.1, WP_087493926.1, WP_087494039.1, WP_087495127.1, WP_087495715.1, WP_087495716.1, WP_087495717.1, WP_087496288.1, WP_087496290.1, WP_087496291.1, WP_087496292.1, WP_087496297.1, WP_087496300.1, WP_087496475.1, WP_087496529.1, WP_087496624.1, WP_157673251.1
GO:0045333	BP	e	cellular respiration	21/476	51/2562	0.00015461554163454677	5	21	0.032933110368158464	WP_087493649.1, WP_087493813.1, WP_087494230.1, WP_087494398.1, WP_087494522.1, WP_087494523.1, WP_087494524.1, WP_087494526.1, WP_087494527.1, WP_087494529.1, WP_087494533.1, WP_087495913.1, WP_087495914.1, WP_087496385.1, WP_087496386.1, WP_087496389.1, WP_087496519.1, WP_087496596.1, WP_087496840.1, WP_087496901.1, WP_087497206.1
GO:0006091	BP	e	generation of precursor metabolites and energy	29/476	80/2562	0.00018389027469457064	3	29	0.03525176565894919	WP_087493604.1, WP_087493649.1, WP_087493813.1, WP_087494230.1, WP_087494398.1, WP_087494522.1, WP_087494523.1, WP_087494524.1, WP_087494526.1, WP_087494527.1, WP_087494529.1, WP_087494533.1, WP_087495032.1, WP_087495033.1, WP_087495034.1, WP_087495913.1, WP_087495914.1, WP_087495966.1, WP_087496001.1, WP_087496002.1, WP_087496385.1, WP_087496386.1, WP_087496389.1, WP_087496519.1, WP_087496596.1, WP_087496613.1, WP_087496840.1, WP_087496901.1, WP_087497206.1
