# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0015740	BP	e	C4-dicarboxylate transport	7/585	8/2562	0.00020195094783847543	7	7	0.013212675310503876	WP_087493662.1, WP_087494329.1, WP_087494507.1, WP_087494778.1, WP_087496458.1, WP_087496639.1, WP_087497320.1
GO:0006835	BP	e	dicarboxylic acid transport	7/585	8/2562	0.00020195094783847543	6	7	0.013212675310503876	WP_087493662.1, WP_087494329.1, WP_087494507.1, WP_087494778.1, WP_087496458.1, WP_087496639.1, WP_087497320.1
GO:0015711	BP	e	organic anion transport	20/585	41/2562	0.0002359968230717299	4	20	0.014593739026726006	WP_087493662.1, WP_087494329.1, WP_087494356.1, WP_087494358.1, WP_087494507.1, WP_087494778.1, WP_087494800.1, WP_087495140.1, WP_087495142.1, WP_087495143.1, WP_087496195.1, WP_087496197.1, WP_087496246.1, WP_087496248.1, WP_087496266.1, WP_087496409.1, WP_087496458.1, WP_087496589.1, WP_087496639.1, WP_087497320.1
GO:0006865	BP	e	amino acid transport	25/585	56/2562	0.0002804454343372404	4	25	0.01680043430076531	WP_087494354.1, WP_087494355.1, WP_087494358.1, WP_087494627.1, WP_087494647.1, WP_087494648.1, WP_087494785.1, WP_087494800.1, WP_087494803.1, WP_087495141.1, WP_087495142.1, WP_087495143.1, WP_087495144.1, WP_087495259.1, WP_087495325.1, WP_087495326.1, WP_087496052.1, WP_087496137.1, WP_087496194.1, WP_087496197.1, WP_087496244.1, WP_087496246.1, WP_087496249.1, WP_087496266.1, WP_198301841.1
GO:0016042	BP	e	lipid catabolic process	18/585	35/2562	0.00029722941752013336	5	18	0.01726632707230593	WP_087493546.1, WP_087493583.1, WP_087493674.1, WP_087493712.1, WP_087493898.1, WP_087494836.1, WP_087494883.1, WP_087495379.1, WP_087495576.1, WP_087495859.1, WP_087496234.1, WP_087496236.1, WP_087496241.1, WP_087496649.1, WP_087496653.1, WP_087496999.1, WP_232459955.1, WP_232459958.1
GO:0046942	BP	e	carboxylic acid transport	19/585	39/2562	0.00035209070593992023	5	19	0.018748830091300753	WP_087493662.1, WP_087494329.1, WP_087494356.1, WP_087494358.1, WP_087494507.1, WP_087494778.1, WP_087494800.1, WP_087495140.1, WP_087495142.1, WP_087495143.1, WP_087496195.1, WP_087496197.1, WP_087496246.1, WP_087496248.1, WP_087496266.1, WP_087496409.1, WP_087496458.1, WP_087496639.1, WP_087497320.1
GO:0015849	BP	e	organic acid transport	19/585	40/2562	0.0005027081886191774	4	19	0.023785231903670722	WP_087493662.1, WP_087494329.1, WP_087494356.1, WP_087494358.1, WP_087494507.1, WP_087494778.1, WP_087494800.1, WP_087495140.1, WP_087495142.1, WP_087495143.1, WP_087496195.1, WP_087496197.1, WP_087496246.1, WP_087496248.1, WP_087496266.1, WP_087496409.1, WP_087496458.1, WP_087496639.1, WP_087497320.1
GO:0032787	BP	e	monocarboxylic acid metabolic process	43/585	117/2562	0.0006289167563299377	7	43	0.028705557663916442	WP_087493518.1, WP_087493524.1, WP_087493580.1, WP_087493660.1, WP_087493674.1, WP_087493677.1, WP_087493712.1, WP_087493898.1, WP_087494128.1, WP_087494147.1, WP_087494332.1, WP_087494418.1, WP_087494423.1, WP_087494430.1, WP_087494434.1, WP_087494725.1, WP_087494781.1, WP_087494783.1, WP_087494836.1, WP_087494978.1, WP_087495136.1, WP_087495157.1, WP_087495379.1, WP_087495576.1, WP_087496054.1, WP_087496192.1, WP_087496234.1, WP_087496236.1, WP_087496237.1, WP_087496241.1, WP_087496245.1, WP_087496622.1, WP_087496649.1, WP_087496659.1, WP_087496703.1, WP_087496705.1, WP_087496869.1, WP_087497309.1, WP_087497350.1, WP_087497364.1, WP_157673039.1, WP_198301836.1, WP_232459944.1
GO:0006810	BP	e	transport	96/585	317/2562	0.000992491942302535	3	96	0.04136102289986868	WP_087493496.1, WP_087493662.1, WP_087493708.1, WP_087493746.1, WP_087493800.1, WP_087494058.1, WP_087494059.1, WP_087494172.1, WP_087494195.1, WP_087494197.1, WP_087494198.1, WP_087494199.1, WP_087494279.1, WP_087494294.1, WP_087494314.1, WP_087494329.1, WP_087494333.1, WP_087494354.1, WP_087494355.1, WP_087494356.1, WP_087494358.1, WP_087494500.1, WP_087494507.1, WP_087494547.1, WP_087494627.1, WP_087494647.1, WP_087494648.1, WP_087494697.1, WP_087494698.1, WP_087494699.1, WP_087494728.1, WP_087494778.1, WP_087494785.1, WP_087494793.1, WP_087494800.1, WP_087494803.1, WP_087494857.1, WP_087495015.1, WP_087495042.1, WP_087495044.1, WP_087495046.1, WP_087495087.1, WP_087495140.1, WP_087495141.1, WP_087495142.1, WP_087495143.1, WP_087495144.1, WP_087495213.1, WP_087495216.1, WP_087495259.1, WP_087495325.1, WP_087495326.1, WP_087495624.1, WP_087495747.1, WP_087495936.1, WP_087495950.1, WP_087496038.1, WP_087496043.1, WP_087496052.1, WP_087496080.1, WP_087496101.1, WP_087496123.1, WP_087496137.1, WP_087496194.1, WP_087496195.1, WP_087496197.1, WP_087496244.1, WP_087496246.1, WP_087496248.1, WP_087496249.1, WP_087496258.1, WP_087496266.1, WP_087496378.1, WP_087496402.1, WP_087496409.1, WP_087496458.1, WP_087496589.1, WP_087496632.1, WP_087496639.1, WP_087496658.1, WP_087496666.1, WP_087496667.1, WP_087496676.1, WP_087496941.1, WP_087497061.1, WP_087497080.1, WP_087497131.1, WP_087497320.1, WP_087497406.1, WP_157673170.1, WP_198301841.1, WP_198301925.1, WP_232459841.1, WP_232459843.1, WP_232459943.1, WP_232460000.1
GO:0009987	BP	p	cellular process	279/585	1564/2562	8.377815076083706e-14	1	279	1.6060271500852466e-10	WP_087493496.1, WP_087493516.1, WP_087493518.1, WP_087493524.1, WP_087493546.1, WP_087493578.1, WP_087493580.1, WP_087493583.1, WP_087493584.1, WP_087493591.1, WP_087493592.1, WP_087493595.1, WP_087493628.1, WP_087493640.1, WP_087493659.1, WP_087493660.1, WP_087493670.1, WP_087493674.1, WP_087493676.1, WP_087493677.1, WP_087493704.1, WP_087493712.1, WP_087493715.1, WP_087493719.1, WP_087493741.1, WP_087493745.1, WP_087493746.1, WP_087493756.1, WP_087493810.1, WP_087493866.1, WP_087493898.1, WP_087493899.1, WP_087493939.1, WP_087493998.1, WP_087494066.1, WP_087494095.1, WP_087494122.1, WP_087494123.1, WP_087494128.1, WP_087494129.1, WP_087494146.1, WP_087494147.1, WP_087494168.1, WP_087494195.1, WP_087494197.1, WP_087494198.1, WP_087494199.1, WP_087494203.1, WP_087494209.1, WP_087494257.1, WP_087494258.1, WP_087494284.1, WP_087494287.1, WP_087494288.1, WP_087494294.1, WP_087494309.1, WP_087494315.1, WP_087494324.1, WP_087494332.1, WP_087494333.1, WP_087494365.1, WP_087494418.1, WP_087494419.1, WP_087494423.1, WP_087494430.1, WP_087494434.1, WP_087494442.1, WP_087494488.1, WP_087494492.1, WP_087494510.1, WP_087494512.1, WP_087494518.1, WP_087494547.1, WP_087494548.1, WP_087494560.1, WP_087494608.1, WP_087494618.1, WP_087494619.1, WP_087494634.1, WP_087494645.1, WP_087494657.1, WP_087494687.1, WP_087494692.1, WP_087494696.1, WP_087494702.1, WP_087494710.1, WP_087494725.1, WP_087494728.1, WP_087494736.1, WP_087494738.1, WP_087494739.1, WP_087494742.1, WP_087494744.1, WP_087494746.1, WP_087494748.1, WP_087494750.1, WP_087494753.1, WP_087494754.1, WP_087494776.1, WP_087494781.1, WP_087494782.1, WP_087494783.1, WP_087494785.1, WP_087494792.1, WP_087494794.1, WP_087494799.1, WP_087494816.1, WP_087494823.1, WP_087494836.1, WP_087494848.1, WP_087494857.1, WP_087494883.1, WP_087494978.1, WP_087495015.1, WP_087495042.1, WP_087495044.1, WP_087495046.1, WP_087495057.1, WP_087495087.1, WP_087495095.1, WP_087495131.1, WP_087495136.1, WP_087495143.1, WP_087495157.1, WP_087495212.1, WP_087495213.1, WP_087495216.1, WP_087495259.1, WP_087495266.1, WP_087495267.1, WP_087495282.1, WP_087495336.1, WP_087495379.1, WP_087495388.1, WP_087495499.1, WP_087495538.1, WP_087495548.1, WP_087495552.1, WP_087495576.1, WP_087495588.1, WP_087495591.1, WP_087495601.1, WP_087495612.1, WP_087495615.1, WP_087495624.1, WP_087495643.1, WP_087495670.1, WP_087495697.1, WP_087495699.1, WP_087495737.1, WP_087495746.1, WP_087495747.1, WP_087495774.1, WP_087495779.1, WP_087495791.1, WP_087495803.1, WP_087495845.1, WP_087495859.1, WP_087495866.1, WP_087495868.1, WP_087495870.1, WP_087495885.1, WP_087495950.1, WP_087496014.1, WP_087496035.1, WP_087496038.1, WP_087496054.1, WP_087496063.1, WP_087496101.1, WP_087496146.1, WP_087496157.1, WP_087496169.1, WP_087496176.1, WP_087496177.1, WP_087496182.1, WP_087496187.1, WP_087496189.1, WP_087496192.1, WP_087496234.1, WP_087496236.1, WP_087496237.1, WP_087496241.1, WP_087496245.1, WP_087496255.1, WP_087496258.1, WP_087496260.1, WP_087496278.1, WP_087496346.1, WP_087496374.1, WP_087496378.1, WP_087496402.1, WP_087496409.1, WP_087496427.1, WP_087496429.1, WP_087496430.1, WP_087496433.1, WP_087496448.1, WP_087496473.1, WP_087496589.1, WP_087496604.1, WP_087496622.1, WP_087496649.1, WP_087496653.1, WP_087496658.1, WP_087496659.1, WP_087496660.1, WP_087496664.1, WP_087496665.1, WP_087496703.1, WP_087496705.1, WP_087496713.1, WP_087496760.1, WP_087496825.1, WP_087496859.1, WP_087496869.1, WP_087496912.1, WP_087496979.1, WP_087496999.1, WP_087497026.1, WP_087497062.1, WP_087497065.1, WP_087497068.1, WP_087497080.1, WP_087497084.1, WP_087497094.1, WP_087497129.1, WP_087497131.1, WP_087497161.1, WP_087497168.1, WP_087497172.1, WP_087497176.1, WP_087497180.1, WP_087497192.1, WP_087497204.1, WP_087497208.1, WP_087497225.1, WP_087497309.1, WP_087497330.1, WP_087497343.1, WP_087497350.1, WP_087497364.1, WP_087497370.1, WP_087497406.1, WP_157672992.1, WP_157673027.1, WP_157673039.1, WP_157673065.1, WP_157673073.1, WP_157673091.1, WP_157673170.1, WP_157673179.1, WP_157673188.1, WP_157673235.1, WP_198301826.1, WP_198301836.1, WP_198301873.1, WP_198301887.1, WP_198301895.1, WP_198301896.1, WP_198301902.1, WP_198301908.1, WP_198301925.1, WP_232459837.1, WP_232459853.1, WP_232459855.1, WP_232459866.1, WP_232459900.1, WP_232459943.1, WP_232459944.1, WP_232459946.1, WP_232459955.1, WP_232459958.1, WP_232459973.1, WP_232459974.1, WP_232459976.1, WP_232459985.1, WP_232460000.1, WP_232460035.1, WP_232460037.1
