M1	4.9,4.53,3.9,5.59,4.85,4.24,4.09,3.74,2.61,2.68,2.79,2.72,2.73,2.75,2.81,nan,3.18,3.17,3.25,3.27,3.29,3.31,3.33,3.33,4.17,4.08,4.05,4.08,4.11,4.26,4.36,4.26
M2	5.79,5.02,5.04,5.48,5.03,4.61,4.18,4.26,2.67,2.63,2.71,2.76,2.74,2.75,2.78,2.82,2.39,2.39,2.47,2.42,2.44,2.46,2.47,2.49,4.52,4.65,4.66,4.7,4.71,4.72,4.81,4.92
M3	5.1,5.15,4.9,3.87,4.15,4.07,3.81,4.5,2.78,2.7,2.72,2.73,2.73,2.75,2.76,2.88,3.26,3.27,3.26,3.29,3.26,3.24,3.28,3.27,4.09,4.2,4.16,4.16,4.25,4.23,4.36,4.32
M4	3.68,4.49,4.37,4.23,4.11,3.63,4.01,4.36,2.39,2.39,2.36,2.36,2.36,2.37,2.33,2.41,2.83,2.82,2.81,2.83,2.81,2.81,2.83,2.85,3.08,3.14,3.13,3.12,3.19,3.2,3.23,3.26
M5	5.59,4.96,4.99,5.03,5.87,4.5,4.4,4.56,2.9,2.9,2.86,2.91,2.87,2.89,2.98,3.01,3.51,3.47,3.54,3.5,3.48,3.63,nan,nan,4.55,4.59,4.58,4.67,4.63,nan,nan,nan
M7	3.35,3.43,3.54,3.42,nan,nan,11.51,11.4,11.45,10.59,nan,nan
M8	3.61,3.62,3.7,3.6,3.68,nan,9.69,12.12,10.14,10.52,4.41,nan
M9	3.72,3.81,3.83,3.73,3.67,nan,4.74,4.71,9.73,9.4,5.17,nan
M10	3.83,3.96,3.78,3.79,3.88,3.85,13.3,4.76,5.33,5.15,5.15,5.52,3.94,3.74,3.8,3.75
M14	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34,21.39,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M15	9.66,8.14,9.45,12.46,11.28,11.55,11.89,0.0,0.0,0.0,0.0
M12	3.81,3.76,3.67,3.66,3.63,3.63,3.67,4.28,4.57,3.97,4.24
